Source,Target,Weight
SIR,LDH,1
RIG,KHS,2
KHS,SKT,2
SKT,BUA,1
BUA,CPH,1
CPH,NIA,2
NIA,AKT,2
AKT,BSP,3
BSP,BYT,3
BYT,TLD,3
TLD,R,3
R,DURG,9
DURG,RJN,5
RJN,DGG,3
DGG,G,3
HWH,KGP,7
KGP,JER,1
JER,BLS,2
BLS,SORO,2
SORO,BHC,2
BHC,JJKR,3
JJKR,CTC,4
CTC,BBS,6
MAS,SPE,4
SPE,GDR,2
GDR,NLR,15
NLR,KVZ,3
KVZ,OGL,3
OGL,CLX,10
CLX,TEL,4
TEL,NGNT,2
NGNT,BZA,2
AMI,BD,2
BD,MZR,1
MZR,AK,1
SEG,NN,1
NN,MKU,1
JL,NK,1
KYN,KSRA,1
KSRA,IGP,1
IGP,DVL,2
DVL,NK,3
NK,NR,1
NR,LS,1
LS,MMR,1
CSMT,DR,4
DR,TNA,2
TNA,LNL,1
LNL,SVJR,1
SVJR,PUNE,1
MMR,KPG,4
KPG,SNSI,2
NZM,MTJ,2
MTJ,RKM,3
RKM,AGC,5
AGC,GWL,5
GWL,JHS,7
JHS,BINA,6
BINA,BPL,3
BPL,ET,8
KNW,BSL,2
BSL,MMR,8
KPG,BAP,1
BAP,ANG,1
ANG,DD,3
DD,PUNE,3
PUNE,STR,2
STR,KRD,1
KRD,SLI,1
SLI,MRJ,1
MRJ,KOP,1
KGP,MDN,4
MDN,BQA,1
BQA,ADRA,5
ADRA,PRR,2
PRR,CKP,2
CKP,ROU,5
ROU,JSG,6
JSG,RIG,3
RIG,BSP,2
BSP,R,4
RJN,G,2
G,NGP,7
NGP,BD,2
AK,BSL,4
BSL,NK,1
KYN,LTT,3
NZM,AGC,1
BINA,BAQ,3
BPL,HBJ,5
PUNE,DD,2
DD,KWV,1
KWV,SUR,1
GWL,DBA,2
DBA,JHS,2
HBJ,ET,2
ET,TBN,1
TBN,HD,1
HD,KNW,3
HWH,BWN,3
BWN,DGR,5
DGR,ASN,6
ASN,DHN,2
DHN,GMO,1
GMO,PNME,3
PNME,KQR,1
KQR,GAYA,5
GAYA,DOS,1
DOS,SSM,5
SSM,BBU,4
BBU,MGS,4
MGS,CAR,2
CAR,MZP,3
MZP,BDL,5
BDL,ACOI,1
ACOI,MKP,1
MKP,CKTD,1
CKTD,ATE,1
ATE,BNDA,1
BNDA,MBA,1
MBA,KLAR,1
KLAR,HPP,1
HPP,MRPR,1
MRPR,NEW,1
NEW,BWR,2
BWR,JHS,1
JHS,DAA,2
DAA,DBA,1
DBA,GWL,1
GWL,SANK,1
SANK,AGC,1
BPL,BHS,5
BHS,BAQ,4
BAQ,BINA,4
BINA,MNV,2
MNV,ASKN,3
ASKN,GUNA,3
BDWS,KLRS,1
KLRS,SVPI,1
TNA,PNVL,6
PNVL,RN,3
RN,SWV,2
SWV,KRMI,1
KRMI,MAO,2
MAO,KAWR,4
KAWR,ANKL,1
ANKL,BIJR,1
BIJR,UD,1
UD,MAJN,4
MAJN,KGQ,5
KGQ,CAN,3
CAN,CLT,3
CLT,TIR,5
TIR,SRR,5
SRR,TCR,7
TCR,ERN,1
ERN,KTYM,5
KTYM,TRVL,3
TRVL,CNGR,7
CNGR,KYJ,2
KYJ,QLN,9
QLN,KCVL,2
SHC,SBV,1
SBV,KGG,1
KGG,BGS,3
BGS,BJU,3
BJU,DSS,4
DSS,SPJ,4
MFP,HJP,8
HJP,CPR,5
CPR,SV,6
SV,DEOS,4
DEOS,GKP,6
GKP,LKO,1
LKO,HRI,1
HRI,BE,1
MB,NDLS,1
UMB,LDH,6
LDH,JUC,5
KGM,HDW,2
HDW,LKU,2
LKU,KHH,1
KHH,BHI,2
BHI,BPR,1
BPR,IZN,2
IZN,BC,2
BC,BE,1
BE,SPN,4
SPN,LJN,1
LJN,CNB,2
YPR,GTL,1
GTL,SC,1
SC,BPQ,1
BPQ,HBJ,1
HBJ,JHS,1
JHS,DEE,1
DEE,DEC,3
AWR,JP,3
JP,AII,4
AII,FA,1
FA,ABR,3
ABR,PNU,7
PNU,GNC,1
GNC,ADI,1
ADI,ND,5
ND,BRC,1
BRC,BH,4
BH,ST,4
ST,BVI,1
BVI,BDTS,1
SC,SUR,1
SUR,PUNE,1
PUNE,LTT,1
YPR,KJM,3
KJM,BWT,4
BWT,JTJ,2
JTJ,WJR,1
WJR,AJJ,2
AJJ,MAS,2
NDLS,ALJN,1
CNB,ALD,5
ALD,MGS,3
MGS,BXR,3
BXR,ARA,5
ARA,DNR,5
DNR,PNBE,8
PNBE,PNC,8
PNC,BKP,3
BKP,BARH,5
BARH,MKA,3
MKA,KIUL,4
KIUL,JMU,1
JMU,JAJ,1
JAJ,JSME,6
JSME,MDP,8
MDP,CRJ,4
CRJ,ASN,7
ASN,DGR,8
DGR,BWN,8
BWN,HWH,4
KLK,CNDM,2
CNDM,CDG,2
KKDE,KUN,1
KUN,PNP,1
PNP,SMK,3
SMK,GNU,3
GNU,SNP,3
SNP,ANDI,1
ANDI,SZM,1
SZM,DLI,4
DLI,GZB,1
GZB,KRJ,1
KRJ,ALJN,2
ALJN,HRS,1
HRS,TDL,1
TDL,FZD,2
FZD,SKB,1
SKB,ETW,1
ETW,PHD,1
PHD,CNB,1
CNB,FTP,2
FTP,ALD,2
ALD,MZP,3
MZP,MGS,4
MGS,BBU,2
BBU,SSM,2
SSM,DOS,3
DOS,GAYA,2
GAYA,KQR,2
KQR,HZD,1
HZD,PNME,1
PNME,GMO,2
GMO,DHN,2
DHN,ASN,4
ASR,BEAS,8
BEAS,JUC,7
JUC,LDH,5
LDH,SIR,3
SIR,UMB,3
UMB,SRE,4
SRE,NBD,1
NBD,MB,3
MB,BE,7
BE,LKO,4
LKO,SLN,2
SLN,BSB,3
BSB,MGS,7
MGS,PNBE,3
PNC,MKA,2
KIUL,JAJ,3
MDP,ASN,2
ASN,KOAA,1
MTJ,KSJ,1
KSJ,FBD,2
FBD,CNB,1
CNB,MGS,4
MGS,GAYA,3
GAYA,DHN,3
DGR,KOAA,1
HWH,ASN,1
DHN,KQR,1
GAYA,MGS,3
MGS,ALD,5
ALD,CNB,5
CNB,ANVT,3
BWN,PAN,1
PAN,DGR,1
DGR,UDL,1
UDL,RNG,2
RNG,ASN,2
RPH,SNT,3
SNT,AMP,4
AMP,PNE,2
PNE,BHP,3
BHP,GKH,2
GKH,BWN,2
BWN,KQU,1
KQU,HWH,1
BGP,SGG,1
SGG,JMP,1
JMP,AHA,1
AHA,KIUL,1
KIUL,MKA,2
MKA,BKP,1
BKP,PNC,3
PNC,PNBE,3
PNBE,MGS,2
CNB,NDLS,2
RJPB,PNBE,3
PNBE,DNR,4
DNR,MGS,1
MGS,BSB,3
BSB,BOY,3
BOY,PBH,1
PBH,AME,2
AME,JAIS,1
JAIS,RBL,1
RBL,LKO,1
MB,SRE,2
SRE,UMB,2
LDH,JRC,2
JRC,PTKC,2
PTKC,JAT,2
SDAH,BWN,1
ASN,KMME,1
KMME,DHN,1
DHN,GAYA,1
MGS,CNB,4
CNB,DLI,1
DLI,UMB,1
LDH,UMB,6
UMB,DLI,1
DLI,CNB,1
DHN,KMME,1
KMME,ASN,1
