Source,Target,Weight
KATL,NRKR,4
NRKR,PAR,4
PAR,MTY,3
MTY,BZU,1
BZU,ET,5
ET,HBJ,6
BPL,SEH,3
SEH,SJP,4
SJP,BCH,3
BCH,UJN,3
NAD,RMA,2
RMA,KOTA,7
KOTA,BUDI,1
BUDI,MLGH,1
MLGH,COR,1
COR,BHL,3
BHL,BJNR,3
BJNR,NSD,2
NSD,AII,3
AII,KSG,5
KSG,FL,3
FL,JOB,1
JOB,KKU,2
KKU,JP,3
JP,KKU,3
KKU,JOB,2
JOB,FL,1
FL,KSG,3
KSG,AII,5
AII,NSD,3
NSD,BJNR,2
BJNR,BHL,2
BHL,COR,3
COR,MLGH,1
MLGH,BUDI,1
BUDI,KOTA,2
KOTA,RMA,1
RMA,NAD,1
NAD,UJN,6
UJN,BCH,3
BCH,SJP,4
SJP,SEH,3
SEH,BPL,2
BPL,HBJ,6
HBJ,ET,3
ET,BZU,5
BZU,MTY,2
MTY,PAR,2
PAR,NRKR,2
NRKR,KATL,2
KATL,NGP,2
NGP,SEGM,3
SEGM,HGT,1
HGT,WRR,1
WRR,MJRI,1
MJRI,WANI,1
WANI,KAYR,1
KAYR,LNT,1
LNT,PMKT,1
PMKT,ADB,1
ADB,KNVT,1
KNVT,BHBK,1
BHBK,SHSK,1
SHSK,HEM,1
HEM,BOKR,1
BOKR,MUE,1
MUE,NED,4
NED,PAU,4
PAU,PBN,4
PBN,MVO,3
MVO,SELU,3
SELU,PTU,4
PTU,J,4
J,AWB,3
AWB,LSR,1
LSR,RGO,1
RGO,NSL,1
NSL,MMR,2
MMR,NK,6
NK,IGP,3
KYN,TNA,6
TNA,DR,1
DR,CSMT,3
AMI,BD,2
BD,MZR,2
MZR,AK,2
AK,WHM,3
WHM,HNL,3
HNL,PAU,2
PBN,PRLI,1
PRLI,LTRR,2
LTRR,LUR,1
LUR,UMD,1
UMD,BTW,1
BTW,KWV,1
KWV,JEUR,1
JEUR,DD,1
DD,URI,1
URI,PUNE,1
UBL,NGR,1
NGR,GDG,1
GDG,MLP,1
MLP,HLAR,1
HLAR,BDM,1
BDM,GED,1
GED,BGK,1
BGK,LMT,1
LMT,BSRX,1
BSRX,BJP,1
BJP,IDR,1
IDR,HG,1
HG,SUR,1
SMNH,VRL,1
VRL,MLHA,1
MLHA,KSD,1
KSD,JND,2
JND,JLR,1
JLR,VRR,1
VRR,GDL,1
GDL,BKNG,2
BKNG,RJT,2
RJT,WKR,5
WKR,THAN,2
THAN,SUNR,2
SUNR,VG,5
VG,CLDY,2
CLDY,ADI,1
ADI,MHD,2
MHD,ND,4
ND,ANND,8
ANND,BRC,12
BRC,DRL,1
DRL,GDA,1
GDA,DHD,3
DHD,MGN,2
MGN,RTM,2
RTM,KUH,2
KUH,NAD,2
UJN,TAN,1
TAN,MKC,2
MKC,BCH,3
BCH,KSH,2
KSH,AKD,2
AKD,SJP,2
SJP,KPP,2
KPP,PRB,1
PRB,SEH,1
SEH,BIH,3
BIH,BPL,4
BAQ,MABA,3
MABA,BINA,3
BINA,KYE,1
KYE,SGO,1
SGO,PHA,1
PHA,DMO,1
DMO,KTE,1
SGRL,BRGW,1
BRGW,SGAM,1
SGAM,NWB,1
NWB,MWJ,1
MWJ,BEHR,1
BEHR,VST,1
VST,MFQ,1
MFQ,KHBJ,1
KHBJ,NKJ,1
NKJ,KTES,1
KTES,SHR,1
SHR,DOE,1
DOE,JBP,1
BCT,BVI,1
BVI,VAPI,5
VAPI,ST,5
ND,ADI,9
NDLS,PNP,2
PNP,KKDE,1
UMB,CDG,5
CDG,KLK,1
HWH,DGR,2
DGR,RNG,4
RNG,ASN,8
ASN,DHN,5
DHN,GMO,2
GMO,CRP,4
CRP,BKSC,5
BKSC,MURI,3
MURI,RNC,4
BBN,BJMD,2
BJMD,NOMD,3
NOMD,DPS,1
DPS,CBSA,2
CBSA,SINI,1
SINI,TATA,1
TATA,GTS,2
GTS,KGP,2
KGP,SRC,9
SRC,HWH,6
DGR,ASN,9
ASN,CRJ,4
CRJ,JMT,5
JMT,MDP,1
MDP,JSME,9
JSME,JAJ,8
JAJ,JMU,4
JMU,LKR,1
LKR,HTZ,1
HTZ,MKA,5
MKA,PNC,2
PNC,PNBE,8
NDLS,UMB,1
UMB,RPJ,2
RPJ,LDH,1
PGW,JUC,5
JUC,BEAS,9
BEAS,ASR,10
JP,GADJ,4
GADJ,BTE,1
BTE,AF,1
NDLS,GZB,2
GZB,MB,1
MB,RMU,6
RMU,RUPC,1
RUPC,LKU,1
LKU,HDW,3
HDW,KGM,3
HWH,BHP,2
BHP,NFK,1
NFK,MLDT,6
MLDT,BOE,2
BOE,KNE,2
KNE,NJP,10
NDLS,ROK,1
ROK,JIND,3
JIND,TUN,1
TUN,SAG,1
SAG,LDH,1
LDH,JGN,1
JGN,MOGA,1
CDG,UMB,4
UMB,KUN,1
KUN,NDLS,1
AGC,NZM,6
DDN,HW,2
HW,RK,4
RK,TPZ,2
TPZ,DBD,1
DBD,MOZ,2
MOZ,MTC,2
MTC,GZB,1
GZB,TKJ,1
TKJ,NDLS,1
KOTA,SWM,8
SWM,GGC,5
GGC,SMBJ,1
SMBJ,HAN,1
HAN,BXN,3
BXN,BTE,3
BTE,MTJ,4
MTJ,BVH,2
BVH,NZM,1
NZM,BVH,1
BVH,MTJ,1
MTJ,BTE,4
BTE,BXN,3
BXN,HAN,4
HAN,SMBJ,3
SMBJ,GGC,2
GGC,SWM,2
SWM,KOTA,5
HBJ,HBD,3
HBD,ET,5
ET,PPI,4
PPI,GAR,2
GAR,KY,3
KY,NU,5
NU,SRID,4
SRID,MML,3
MML,JBP,5
JBP,MML,4
MML,SRID,2
SRID,NU,3
NU,KY,5
KY,GAR,3
GAR,PPI,2
PPI,ET,5
NZM,DEC,1
DEC,GGN,3
GGN,RE,2
RE,NNL,1
NNL,NMK,1
NMK,RGS,1
RGS,FL,1
BZA,NGNT,2
NGNT,TEL,2
TEL,CLX,4
CLX,OGL,7
OGL,KVZ,2
KVZ,NLR,3
NLR,GDR,13
GDR,SPE,2
SPE,MAS,3
UBL,HVR,4
HVR,RNR,4
RNR,HRR,4
HRR,DVG,4
DVG,JRU,2
JRU,RRB,2
RRB,ASK,3
ASK,TK,3
TK,YPR,3
YPR,SBC,3
LJN,CNB,1
CNB,ORAI,3
ORAI,JHS,3
JHS,LAR,6
LAR,BPL,1
BPL,BSL,1
BSL,NK,2
NK,KYN,3
ANG,MMR,1
MMR,BSL,5
BSL,AK,3
AK,BD,2
BD,WR,2
WR,NGP,2
MMR,JL,3
BSL,MKU,1
MKU,SEG,1
SEG,AK,2
NGP,BRD,2
BRD,TMR,4
TMR,G,2
G,RJN,4
RJN,DURG,7
DURG,R,4
R,BSP,4
BSP,CPH,4
CPH,RIG,4
RIG,BRJN,1
BRJN,JSG,1
JSG,ROU,5
ROU,CKP,5
CKP,TATA,5
TATA,KGP,4
KGP,HWH,5
BINA,JHS,4
JHS,GWL,6
MRA,AGC,3
MS,RU,1
RU,KOU,3
KOU,RJP,3
RJP,HX,2
HX,YA,4
YA,TU,2
TU,GY,5
GY,GTL,4
GTL,AD,6
AD,MALM,6
MALM,RC,6
RC,SADP,2
SADP,YG,2
YG,WADI,2
WADI,SDB,1
SDB,GR,1
GR,SUR,4
SUR,PUNE,4
KYN,IGP,2
IGP,NK,2
NK,MMR,3
BSL,ET,2
ET,JBP,3
KTE,STA,3
STA,ALD,1
ALD,JNH,1
JNH,BOY,2
BOY,BSB,3
NDLS,NZM,2
NZM,MTJ,8
MTJ,AGC,10
AGC,DHO,3
DHO,MRA,3
MRA,GWL,4
GWL,DAA,1
DAA,JHS,2
LAR,BINA,5
BINA,BAQ,3
BAQ,BHS,3
BHS,BPL,3
ANVT,MB,1
MB,BE,7
BE,SPN,5
SPN,LKO,4
LKO,GD,3
GD,BST,2
BST,GKP,2
GKP,BUG,1
BUG,NKE,2
NKE,BTH,2
BTH,SGL,2
SGL,BMKI,3
BMKI,MFP,1
BDTS,BVI,6
BVI,ST,2
BRC,ND,1
ADI,GNC,1
GNC,PNU,1
FA,AII,1
AII,JP,4
JP,AWR,3
AWR,RE,3
RE,GGN,7
GGN,DEC,8
DEC,DEE,6
HWH,TATA,1
TATA,BSP,1
BSP,NGP,1
NGP,BSL,2
BSL,MMR,6
MMR,DD,2
ERS,CLT,1
CLT,MAJN,1
MAJN,MAO,1
MAO,RN,1
RN,LTT,1
BCT,BRC,2
BRC,RTM,5
RTM,UJN,1
UJN,INDB,1
INDB,UJN,1
UJN,RTM,1
RTM,BRC,5
BRC,BCT,1
RTM,SWM,1
SWM,JP,1
MAS,JTJ,1
JTJ,SA,5
HWH,BBS,1
BBS,VZM,1
VZM,BZA,1
BZA,RU,1
RU,YPR,1
MTJ,KOTA,2
KOTA,RTM,4
BRC,ST,5
ST,BDTS,1
BGP,JMP,2
JMP,AHA,6
AHA,KIUL,5
KIUL,JSME,1
JSME,MDP,9
MDP,ASN,4
ASN,BWN,2
BWN,HWH,4
HWH,KGP,4
KGP,BLS,4
BLS,BHC,6
BHC,CTC,2
CTC,BBS,10
BBS,KUR,9
KUR,BAM,6
BAM,VZM,2
VZM,VSKP,8
VSKP,DVD,9
DVD,RJY,2
RJY,BZA,4
BZA,OGL,5
OGL,NLR,8
GDR,RU,5
RU,KPD,2
KPD,JTJ,6
JTJ,KJM,2
KJM,YPR,2
SDAH,DHN,1
DHN,MGS,2
MGS,CNB,6
CNB,NDLS,7
NDLS,CNB,6
CNB,MGS,5
MGS,DHN,1
DHN,SDAH,1
MGS,PNBE,4
PNBE,JSME,2
JSME,HWH,1
PURI,BBS,1
BBS,CTC,14
CTC,JJKR,5
JJKR,BHC,6
BHC,BLS,9
BLS,KGP,8
BBS,BLS,1
BLS,ADRA,1
ADRA,MGS,1
MGS,ADRA,1
ADRA,BLS,1
BLS,BBS,1
NZM,KOTA,2
BRC,BSR,2
PNVL,RN,4
RN,MAO,1
MAO,MAJN,1
MAJN,CLT,1
CLT,ERS,1
MAS,AJJ,2
AJJ,WJR,2
WJR,JTJ,1
JTJ,BWT,1
BWT,KJM,3
HWH,DHN,1
DHN,PNME,3
PNME,GAYA,1
GAYA,MGS,3
MGS,ALD,5
ALD,CNB,8
CNB,ALD,4
ALD,MGS,2
MDP,BWN,1
MGS,GAYA,1
GAYA,DHN,1
DHN,ASN,2
ASN,DGR,3
DGR,SDAH,1
UDZ,RPZ,1
RPZ,MVJ,1
MVJ,COR,1
JP,SWM,1
SWM,AF,1
AF,TDL,1
TDL,CNB,1
PNBE,PNC,3
PNC,JAJ,1
JAJ,JSME,7
BWN,KOAA,2
HWH,BWN,5
BWN,PAN,3
PAN,DGR,5
ASN,BRR,1
BRR,DHN,2
GMO,PNME,2
PNME,HZD,2
HZD,KQR,3
KQR,GAYA,4
GAYA,AUBR,1
AUBR,DOS,2
DOS,SSM,3
SSM,BBU,3
BBU,MGS,3
MGS,CAR,1
CAR,MZP,2
MZP,BDL,2
BDL,ACOI,1
ACOI,SRJ,2
SRJ,MKP,1
STA,MYR,2
MYR,KTE,1
JBP,SRID,1
ET,HD,3
HD,KNW,3
KNW,NPNR,2
NPNR,BAU,2
BAU,BSL,3
JL,CSN,3
SDAH,BWN,2
BWN,DGR,8
CNB,ANVT,2
BGP,SGG,6
SGG,BUP,5
BUP,JMP,5
AHA,KJH,4
KJH,KIUL,3
KIUL,LKR,10
LKR,BRYA,6
BRYA,MKA,1
MKA,BARH,4
BARH,BKP,4
BKP,KOO,4
KOO,FUT,6
FUT,PNC,5
PNBE,DNR,8
DNR,ARA,6
ARA,DURE,2
DURE,BXR,4
BXR,DLN,3
DLN,MGS,3
MGS,MZP,3
MZP,ACOI,2
ACOI,STA,2
JBP,PPI,3
KNW,BAU,2
ASN,RNG,5
RNG,UDL,5
UDL,DGR,3
DGR,PAN,2
PAN,BWN,2
NJP,KNE,7
KNE,MLDT,2
MLDT,BHP,1
BHP,BWN,4
BWN,SDAH,1
BWN,BHP,6
BHP,RPH,5
RPH,NFK,1
MLDT,KNE,4
NJP,NCB,4
NCB,NOQ,6
NOQ,NBQ,2
NBQ,KYQ,4
KYQ,GHY,6
KOAA,DGR,1
ASN,MDP,3
JMU,KIUL,3
KIUL,MKA,2
MKA,BKP,2
BKP,PNC,4
PNC,RJPB,3
RJPB,PNBE,7
KOAA,BWN,2
RPH,PKR,4
PKR,MLDT,3
MLDT,HCR,1
HCR,KNE,1
NJP,JPG,1
JPG,HDB,1
HDB,JPG,1
JPG,NJP,1
KNE,HCR,1
HCR,MLDT,1
MLDT,PKR,1
PKR,RPH,2
RPH,BHP,1
JMP,DRH,1
DRH,AHA,2
BRYA,HTZ,3
PNBE,MGS,3
SDAH,KQU,1
KQU,BWN,1
BHP,PNE,3
PNE,SNT,1
SNT,RPH,2
ASN,JOC,3
JOC,PRR,2
PRR,CKP,1
CKP,ROU,4
ROU,JSG,5
JSG,SBP,4
SBP,BRGA,5
BRGA,BLGR,5
BLGR,TIG,5
TIG,KSNG,6
KSNG,MNGD,3
MNGD,RGDA,3
RGDA,PVP,3
PVP,VBL,6
VBL,VZM,6
VSKP,SLO,3
SLO,RJY,11
RJY,EE,4
EE,BZA,12
BZA,TEL,7
TEL,OGL,2
PNME,KQR,2
GAYA,RFJ,1
RFJ,AUBR,1
MGS,BSB,6
BSB,JNH,1
JNH,ALD,2
CNB,ETW,1
ETW,TDL,1
TDL,ALJN,3
ALJN,NDLS,1
DGR,BWN,4
BWN,BDC,7
BDC,NH,4
NH,BP,3
BP,SDAH,1
NDLS,ALJN,2
ALJN,TDL,2
TDL,FZD,2
FZD,SKB,2
SKB,ETW,2
ETW,CNB,3
ALD,BDL,1
BDL,MZP,2
MZP,MGS,2
MGS,ZNA,2
ZNA,DLN,2
DLN,BXR,1
BXR,DURE,2
DURE,BEA,1
BEA,ARA,2
ARA,BTA,2
BTA,DNR,2
DNR,PWS,2
PWS,PNBE,1
PNBE,RJPB,4
RJPB,PNC,3
PNC,FUT,3
FUT,DNWH,1
DNWH,HIL,1
HIL,EKR,1
EKR,IPR,1
CDG,SASN,2
SASN,NMDA,2
NMDA,SMRL,1
SMRL,LDH,1
ASR,BEAS,4
BEAS,JUC,3
JUC,PGW,1
PGW,LDH,1
LDH,SMRL,1
SMRL,NMDA,1
NMDA,SASN,1
SASN,CDG,3
FL,JP,6
GADJ,DO,2
DO,BKI,3
BKI,RHG,3
RHG,AWR,3
AWR,KRH,3
KRH,RE,2
DEC,DLI,2
DLI,KUN,1
KUN,UMB,2
UMB,LDH,7
LDH,JRC,6
JRC,PTKC,5
KTHU,JAT,5
KOTA,BRC,1
RN,SWV,2
SWV,MAO,1
KAWR,UD,2
MAJN,CAN,3
CLT,SRR,3
TCR,ERS,2
ERS,ALLP,3
ALLP,QLN,1
QLN,TVC,3
MAS,BZA,1
BZA,WL,5
WL,BPQ,1
BPQ,NGP,4
NGP,BPL,4
BPL,JHS,5
GWL,AGC,3
DBRT,NTSK,1
NTSK,MXN,1
MXN,DMV,1
DMV,DPU,5
DPU,LMG,5
LMG,HJI,1
HJI,GHY,1
GHY,RNY,2
RNY,NBQ,4
NBQ,KOJ,3
KOJ,NOQ,1
NOQ,NCB,7
NCB,NJP,3
KNE,KIR,2
