Source,Target,Weight
MTJ,KSV,1
KSV,PWL,1
PWL,BVH,1
BVH,FDB,1
FDB,NZM,5
NZM,NDLS,5
NDLS,SZM,2
SZM,BHD,1
BHD,NUR,1
NUR,SNP,1
SNP,GNU,1
GNU,SMK,2
SMK,PNP,1
PNP,GRA,2
GRA,KUN,2
KUN,TRR,2
TRR,NLKR,4
NLKR,KKDE,2
KKDE,SHDM,1
SHDM,UMB,1
UMB,UBC,3
UBC,RPJ,1
RPJ,PTA,1
PTA,NBA,1
NBA,DUI,1
DUI,MET,1
MET,AHH,1
AHH,LDH,1
LDH,PHR,2
PHR,GRY,2
GRY,PGW,2
PGW,JRC,3
JRC,JUC,6
JUC,BEAS,6
BEAS,JNL,1
JNL,ASR,1
FD,SLN,2
SLN,PBH,2
PBH,ALD,2
ALD,MKP,1
MKP,STA,4
STA,KTE,8
KTE,JBP,9
JBP,NU,5
NU,PPI,7
PPI,ET,6
ET,KNW,5
KNW,BAU,1
BAU,BSL,1
BSL,MMR,6
MMR,NK,5
NK,IGP,4
IGP,KYN,6
TNA,LTT,6
LTT,KYN,2
KYN,PUNE,1
PUNE,SUR,3
WADI,YG,3
YG,RC,3
RC,MALM,4
MALM,AD,4
AD,GTL,4
GTL,GY,3
GY,YA,1
YA,HX,3
HX,RU,1
RU,AJJ,3
AJJ,PER,7
PER,MAS,6
GKP,DEOS,6
DEOS,MAU,1
MAU,ARJ,1
ARJ,BSB,2
BSB,MZP,1
MZP,ACOI,1
ACOI,MKP,4
STA,MYR,3
MYR,KTE,3
PPI,KNW,1
KNW,BSL,8
BSL,NK,2
NK,KYN,1
KYN,LTT,3
KYN,NK,1
MMR,NSL,1
NSL,LSR,1
LSR,AWB,1
AWB,J,2
J,PBN,2
NED,MUE,3
MUE,BOKR,2
BOKR,HEM,2
HEM,KNVT,1
KNVT,ADB,2
ADB,PMKT,1
PMKT,WANI,1
WANI,MJKN,1
MJKN,CD,1
CD,BPQ,6
BPQ,SKZR,7
SKZR,BPA,4
BPA,MCI,4
