Source,Target,Weight
NDLS,FDB,2
FDB,MTJ,3
MTJ,RKM,2
RKM,AGC,4
AGC,DHO,3
DHO,MRA,3
MRA,GWL,4
GWL,DBA,3
DBA,DAA,2
DAA,JHS,2
JHS,BAB,2
BAB,LAR,1
LAR,DUA,1
DUA,BINA,2
ET,BPF,1
BPF,HD,1
HD,CAER,1
CAER,KNW,1
KNW,BAU,4
BAU,BSL,4
MMR,KPG,8
KPG,BAP,3
BAP,ANG,3
ANG,DD,4
DD,URI,1
URI,PUNE,2
LTT,KYN,4
KYN,NK,4
NK,BSL,4
BSL,KNW,11
KNW,HD,5
HD,ET,5
ET,HBJ,4
BHS,JHS,3
JHS,ORAI,7
ORAI,CNB,6
CNB,LKO,11
BBK,JLD,3
JLD,CLJ,3
CLJ,GD,3
GD,BLP,4
BLP,JKNI,3
JKNI,TLR,3
TLR,BNY,4
BNY,NUH,1
NUH,ANDN,3
ANDN,GKP,4
THVM,SWV,1
SWV,KKW,1
KKW,RN,2
RN,CHI,2
KHED,PNVL,1
KRD,SLI,4
MRJ,GPB,1
LD,CLR,3
CLR,QLM,3
QLM,SVM,3
SVM,MAO,3
MAO,KAWR,4
KAWR,GOK,1
GOK,KT,2
KT,HNA,2
HNA,MRDW,2
MRDW,BTJL,2
BTJL,KUDA,1
KUDA,UD,3
UD,MAJN,3
MAJN,KGQ,2
KGQ,KZE,2
KZE,PAY,2
PAY,CAN,2
CAN,TLY,4
TLY,CLT,1
CLT,TIR,2
TIR,SRR,2
SRR,TCR,4
TCR,AWY,7
AWY,ERN,8
ERN,ERS,4
KOP,HTK,1
HTK,MRJ,1
KUD,RBG,1
RBG,GPB,2
UBL,GDG,2
GDG,KBL,2
KBL,HPT,2
HPT,TNGL,1
TNGL,DAJ,1
DAJ,BAY,1
BAY,GTL,2
AD,KO,1
KO,MALM,1
KSN,SADP,1
SADP,YG,1
YG,NW,1
NW,CT,1
CT,MQR,2
MQR,SEM,2
SEM,KQT,1
KQT,NAW,1
NAW,TDU,1
TDU,VKB,2
VKB,SKP,1
SKP,LPI,1
LPI,SNF,1
SNF,BMT,1
BMT,HYB,2
MRJ,SGLA,1
SGLA,PVR,2
PVR,KWV,1
KWV,BTW,2
BTW,UMD,2
UMD,LUR,1
LUR,LTRR,3
LTRR,PRLI,2
PRLI,GNH,2
GNH,PBN,2
PBN,PAU,3
PAU,HNL,2
HNL,WHM,3
WHM,AK,3
AK,MZR,1
MZR,BD,1
BD,DMN,2
DMN,PLO,3
PLO,WR,3
WR,NGP,3
LJN,CNB,3
CNB,ORAI,5
ORAI,JHS,5
JHS,BINA,4
BINA,BPL,7
ET,KNW,5
KNW,BSL,3
JL,MMR,4
KPG,ANG,1
DADN,INDB,1
INDB,DWX,3
DWX,UJN,3
UJN,BCH,3
BCH,SJP,3
SJP,SEH,4
SEH,BIH,1
BIH,BHS,1
BHS,MABA,1
MABA,BINA,3
BINA,KYE,3
KYE,SGO,3
SGO,PHA,2
PHA,DMO,3
DMO,KTE,2
KTE,JKE,2
JKE,MYR,1
MYR,STA,6
STA,REWA,3
ETW,BIX,1
BIX,GWL,1
MTJ,CHJ,2
CHJ,KSV,2
KSV,PWL,3
PWL,FDB,1
FDB,NZM,5
NZM,NDLS,3
NDLS,SZM,1
SZM,SNP,1
SNP,SMK,1
SMK,PNP,1
PNP,KUN,2
KUN,KKDE,2
NGP,WR,4
WR,PLO,1
PLO,DMN,1
DMN,BD,2
BD,AK,6
AK,SEG,1
SEG,MKU,1
MKU,BSL,2
JL,CSN,2
CSN,MMR,2
MMR,NK,4
KYN,PNVL,1
PNVL,ROHA,1
ROHA,KHED,1
KHED,CHI,2
CHI,SGR,1
SGR,RN,1
RN,KKW,2
KKW,KUDL,1
KUDL,SWV,1
MYS,SBC,1
SBC,KPD,1
KPD,MAS,2
DDN,HW,4
HW,RK,3
RK,SRE,4
SRE,MOZ,2
MOZ,MTC,4
MTC,GZB,3
GZB,NDLS,3
HWH,KGP,9
KGP,GTS,1
GTS,TATA,1
TATA,SINI,1
SINI,CBSA,1
CBSA,DPS,1
DPS,NOMD,1
NOMD,BJMD,1
BJMD,BBN,1
NJP,KNE,6
KNE,BOE,3
BOE,MLDT,2
MLDT,NFK,5
NFK,BHP,1
BHP,HWH,1
NDLS,ROK,2
ROK,JIND,3
JIND,TUN,1
TUN,JHL,3
JHL,MSZ,1
MSZ,BTI,1
BTI,KKP,1
KKP,FDK,1
FDK,FZR,1
G,DGG,1
DGG,RJN,2
RJN,DURG,5
DURG,R,9
R,TLD,1
TLD,BYT,1
BYT,BSP,4
BSP,AKT,1
AKT,NIA,1
NIA,CPH,3
CPH,BUA,1
BUA,SKT,1
SKT,KHS,1
KHS,RIG,1
TVC,VAK,2
VAK,QLN,2
QLN,KYJ,4
KYJ,ALLP,2
