Source,Target,Weight
KSRA,IGP,13
IGP,DVL,19
DVL,NK,22
MMR,NGN,8
NGN,CSN,8
CSN,PC,9
PC,JL,10
BSL,RV,5
RV,BAU,6
BAU,NPNR,8
NPNR,KNW,8
KNW,KKN,3
KKN,HD,7
HD,TBN,7
TBN,ET,2
ET,HBD,23
HBD,MDDP,1
MDDP,HBJ,3
HBJ,BPL,36
BPL,BHS,25
BHS,BAQ,20
BAQ,BINA,14
BINA,LAR,16
LAR,BAB,5
BAB,JHS,11
JHS,CGN,5
CGN,AIT,1
AIT,ORAI,5
ORAI,KPI,5
KPI,PHN,5
PHN,BZM,2
BZM,CNB,4
CNB,ON,36
ON,LKO,19
LKO,BBK,27
BBK,GD,20
GD,MUR,25
MUR,BV,3
BV,BST,10
BST,KLD,29
KLD,GKP,25
GKP,KLD,25
KLD,BST,30
BST,BV,9
BV,MUR,3
MUR,GD,26
GD,BBK,20
BBK,LKO,25
LKO,ON,19
ON,CNB,36
CNB,BZM,4
BZM,PHN,2
PHN,KPI,4
KPI,ORAI,4
ORAI,AIT,5
AIT,CGN,1
CGN,JHS,5
JHS,BAB,11
BAB,LAR,5
LAR,BINA,16
BINA,BAQ,14
BAQ,BHS,20
BHS,BPL,25
BPL,HBJ,36
HBJ,MDDP,3
MDDP,HBD,1
HBD,ET,23
ET,TBN,2
TBN,HD,6
HD,KKN,7
KKN,KNW,3
KNW,NPNR,8
NPNR,BAU,8
BAU,RV,6
RV,BSL,5
BSL,JL,65
JL,PC,9
PC,CSN,8
CSN,NGN,8
NGN,MMR,8
MMR,NK,38
NK,DVL,22
DVL,IGP,19
IGP,KYN,39
PUNE,SUR,14
SUR,GR,25
GR,WADI,15
YG,RC,16
MALM,GTL,5
GY,TU,17
TU,YA,8
YA,HX,18
HX,RU,4
RU,AJJ,5
AJJ,MS,1
MS,TBM,30
TBM,CGL,58
CGL,VM,16
VM,TDPR,10
TDPR,CDM,5
CDM,SY,12
SY,MV,10
MV,TVR,2
TVR,NGT,5
NGT,NCR,5
NCR,KIK,6
KIK,NCR,7
NCR,NGT,5
NGT,TVR,6
TVR,MV,3
MV,SY,10
SY,CDM,12
CDM,TDPR,6
TDPR,VM,11
VM,CGL,17
CGL,TBM,60
TBM,MS,18
MS,AJJ,3
AJJ,RU,4
RU,HX,4
HX,YA,17
YA,TU,8
TU,GY,17
GTL,MALM,5
RC,YG,15
WADI,GR,16
GR,SUR,26
SUR,PUNE,14
PUNE,DD,41
DD,SUR,10
WADI,SEM,2
SEM,TDU,8
TDU,LPI,2
LPI,BMT,10
BMT,SC,16
SC,KZJ,27
KZJ,WL,29
WL,MABD,12
MABD,KMT,7
KMT,MDR,14
MDR,BZA,13
BZA,EE,65
EE,TDD,34
TDD,NDD,14
NDD,RJY,14
RJY,SLO,59
SLO,TUNI,7
TUNI,AKP,12
AKP,VSKP,7
VSKP,VZM,62
VZM,CHE,35
CHE,PSA,34
PSA,SPT,17
SPT,IPM,12
IPM,BAM,13
BAM,CAP,19
CAP,BALU,12
BALU,KUR,26
KUR,BBS,98
BBS,KUR,96
KUR,BALU,24
BALU,CAP,12
CAP,BAM,20
BAM,IPM,14
IPM,SPT,13
SPT,PSA,18
PSA,CHE,33
CHE,VZM,34
VZM,VSKP,59
VSKP,AKP,5
AKP,TUNI,10
TUNI,SLO,6
SLO,RJY,57
RJY,NDD,16
NDD,TDD,14
TDD,EE,32
EE,BZA,63
BZA,MDR,13
MDR,KMT,14
KMT,MABD,8
MABD,WL,12
WL,KZJ,31
KZJ,SC,27
SC,BMT,16
BMT,LPI,10
LPI,TDU,2
TDU,SEM,8
SEM,WADI,2
SUR,DD,11
LNL,KJT,23
BAND,HSRA,4
DPJ,SA,8
ED,KRR,16
KRR,DG,10
DG,MDU,19
MDU,VPT,23
VPT,SRT,26
SRT,CVP,26
CVP,MEJ,13
MEJ,TEN,15
TEN,MEJ,14
MEJ,CVP,13
CVP,SRT,26
SRT,VPT,26
VPT,MDU,22
MDU,DG,18
DG,KRR,11
KRR,ED,14
SA,DPJ,9
HSRA,BAND,4
TGN,DEHR,3
DEHR,PMP,1
PUNE,JJR,1
JJR,NIRA,3
NIRA,LNN,5
LNN,WTR,3
WTR,STR,2
STR,KRG,5
KRG,KRD,1
KRD,KOV,1
KOV,BVQ,3
BVQ,SLI,3
MRJ,JSP,9
JSP,HTK,6
HTK,RKD,9
RKD,VV,9
VV,KOP,7
KOP,VV,8
VV,RKD,9
RKD,HTK,9
HTK,JSP,6
JSP,MRJ,9
SLI,BVQ,3
BVQ,KOV,3
KOV,KRD,1
KRD,KRG,1
KRG,STR,5
STR,WTR,2
WTR,LNN,3
LNN,NIRA,5
NIRA,JJR,3
JJR,GPR,2
GPR,PUNE,5
PMP,DEHR,1
DEHR,TGN,3
KJT,NRL,1
NRL,KYN,1
PC,KJ,1
KJ,CSN,1
CSN,MMR,10
MMR,LS,10
LS,NK,5
KYN,PNVL,7
PNVL,CKHS,1
CKHS,MHPE,1
